zid;Аминьевское шоссе;Киевская;Кунцевская;Кутузовская;Мичуринский проспект;Озёрная;Парк Победы;Проспект Вернадского;Славянский бульвар;Юго-Западная
80150;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80151;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80152;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80153;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80154;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80155;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80156;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80157;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80158;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80159;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80160;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80161;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80162;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80163;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80165;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80166;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80167;0.00;0.00;4.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80168;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80169;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80170;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80171;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80173;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80174;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80175;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80176;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80177;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80178;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80179;0.00;0.00;14.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80180;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80181;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80182;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80183;0.00;0.00;13.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80184;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80185;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80186;7.86;0.00;31.70;0.00;0.00;0.00;0.00;0.00;0.00;1.77
80187;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80188;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80189;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80190;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80191;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80192;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80193;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80194;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80195;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80196;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80197;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80198;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80199;0.00;0.00;1.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80200;0.00;0.00;1.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80201;0.00;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80202;0.00;0.00;2.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80203;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80204;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80206;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80207;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80208;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80209;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80210;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80211;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80212;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80213;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80214;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80215;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80217;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80218;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80219;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80220;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80221;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80222;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80223;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80225;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80226;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80227;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80228;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80229;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80230;5.25;0.00;26.05;0.00;0.00;0.00;0.00;0.00;0.00;1.51
80231;0.00;0.00;51.21;10.87;0.00;12.67;8.75;0.00;0.00;0.08
80232;2.92;0.00;14.85;0.00;0.00;0.00;0.00;0.00;0.00;0.78
80233;38.49;0.00;185.01;0.00;0.00;0.00;0.00;0.00;0.00;10.68
80234;5.35;0.00;27.65;0.00;0.00;0.00;0.00;0.00;0.00;1.79
80235;3.87;0.00;20.05;0.00;0.00;0.00;0.00;0.00;0.00;1.15
80236;5.60;0.00;29.85;0.00;0.00;0.00;0.00;0.00;0.00;1.77
80237;50.15;718.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80238;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80239;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80240;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80241;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80242;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80243;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80244;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80245;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80246;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80247;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80248;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80249;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80250;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80251;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80252;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80253;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80254;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80255;4.22;0.00;17.74;0.00;0.00;0.00;0.00;0.00;0.00;1.06
80256;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80257;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80258;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80259;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80260;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80261;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80262;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80263;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80264;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80265;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80266;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80267;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80268;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80269;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80270;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80271;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80272;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80273;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80274;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80275;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80276;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80277;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80278;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80279;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80280;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80281;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80282;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80283;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80284;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80285;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80286;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80287;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80288;0.00;0.00;1.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80289;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80290;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80291;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80292;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80293;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80294;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80295;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80296;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80298;0.00;0.00;13.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80299;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80300;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80301;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80302;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80303;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80304;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80305;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80306;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80307;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80309;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80310;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80311;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80312;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80313;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80314;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80315;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80316;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80317;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80318;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80319;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80320;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80321;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80322;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80323;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80324;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80325;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80326;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80327;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80328;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80329;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80330;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80331;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80332;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80333;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80334;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80335;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80336;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80337;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80338;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80339;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80340;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80341;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80342;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80344;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80345;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80346;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80347;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80348;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80349;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80350;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80351;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80352;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80353;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80354;0.70;0.00;2.85;0.00;0.00;0.00;0.00;0.00;0.00;0.16
80355;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80359;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80360;3.67;0.00;18.51;0.00;0.00;0.00;0.00;0.00;0.00;1.05
80361;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80362;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80363;1.44;0.00;7.32;0.00;0.00;0.00;0.00;0.00;0.00;0.45
80364;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80365;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80366;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80367;1.93;0.00;10.17;0.00;0.00;0.00;0.00;0.00;0.00;0.63
80368;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80369;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80370;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80371;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80372;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80373;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80374;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80375;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80376;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80377;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80378;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80382;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80385;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80387;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80388;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80389;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80390;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80391;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80392;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80393;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80394;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80395;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80396;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80397;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80398;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80399;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80400;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80401;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80402;2.94;0.00;12.10;0.00;0.00;0.00;0.00;0.00;0.00;0.69
80403;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80404;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80405;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80406;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80407;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80408;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80409;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80410;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80411;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80412;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80413;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80414;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80415;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80416;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80417;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80418;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80419;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80420;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80421;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80422;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80423;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80424;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80425;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80426;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80427;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80428;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
80429;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
